Quiz 1	1 ad
	2 c
	3 c
	4 a
	5 a
Quiz 2	1 d
	2 a
	3 b
	4 d
	5 a
	6 acd
	7 ac
Quiz 3	1 c
	2 a
	3 a
	4 c
	5 b
Quiz 4	1 b
	2 b
	3 b
	4 b
	5 a
Quiz 5	1 b
	2 c
	3 a
	4 c
	5 c
	6 d
	7 a
Quiz 6	1 a
	2 c
	3 c
	4 a
	5 a
	6 b
	7 a
	8 d
	9 d
Quiz 7	1 b 
	2 a
	3 b
	4 c
	5 b
Quiz 8	1 c
	2 a
	3 c
	4 b
	5 d
	6 d
	7 a
Quiz 9	1 a
	2 a
	3 b
	4 a
	5 b
Quiz 10	1 a
	2 b
	3 a
	4 c
	5 a
	6 a
	7 b
	8 d
Quiz 11	1 b
	2 a
	3 b
	4 c
	5 a
	6 d
	7 abd
Quiz 12	1 b
	2 a
	3 b
	4 c
	5 d
Quiz 13	1 a
	2 a
	3 b
	4 d
	5 d
	6 a
Quiz 14	1 a
	2 d
	3 a
	4 a
	5 a
Quiz 15	1 a
	2 a
	3 d
	4 b
	5 a
Quiz 16	1 a
	2 a
	3 a
	4 a
	5 d
Quiz 17	1 a
	2 d
	3 b
	4 d
	5 b
Quiz 18	1 a
	2 c
	3 d
	4 b
	5 a
Quiz 19	1 a
	2 a
	3 a
	4 d
	5 a
Quiz 20	1 a
	2 a
	3 d
	4 a
	5 a
Quiz 21	1 b
	2 a
	3 a
	4 a
	5 b
Quiz 22	1 ab
	2 a
	3 a
	4 a
	5 b
Quiz 23	1 b
	2 b
	3 c
	4 d
	5 d
Quiz 24	1 b
	2 d
	3 a
	4 c
	5 b
Quiz 25	1 b
	2 d
	3 c
	4 c
	5 d
Quiz 26	1 b
	2 c
	3 ac
	4 a
	5 a
	6 a

